CITY,FTSWORN or Total Pop.,Whitenonhispanic,Blacknonhispanic,HispanicorLatino,AmericanIndianorAlaskaNative,Asian,NativeHawaiianorotherPacificIslander,Twoormoreraces,Noinformation (cops),"""Other"" in 2010 US Census"
ALAMEDA POLICE DEPT,99,68,5,10,1,8,2,5,0,0
ALAMEDA ,73812,33468,4516,8092,247,22822,342,4047,0,278
ANTIOCH POLICE DEPT,116,89,6,17,0,4,0,0,0,0
ANTIOCH ,102372,36490,17045,32436,455,10322,743,4630,0,251
BERKELEY POLICE DEPT,181,101,33,18,1,28,0,0,0,0
BERKELEY,112580,61539,10896,12209,228,21499,170,5536,0,503
CONCORD POLICE DEPT,154,125,5,16,0,8,0,0,0,0
CONCORD ,122067,61416,3991,37311,366,13219,744,4695,0,325
DALY CITY POLICE DEPT,108,71,5,11,1,9,11,0,0,0
DALY CITY,101123,14031,3284,23929,115,55711,752,2830,0,471
FAIRFIELD POLICE DEPT,124,99,7,7,0,11,0,0,0,0
FAIRFIELD ,105321,37091,15979,28789,462,15265,1049,6455,0,231
FREMONT POLICE DEPT,185,138,7,24,0,15,1,0,0,0
FREMONT ,214089,56766,6743,31698,458,107679,1064,9293,0,388
LODI POLICE DEPT,74,65,0,7,2,0,0,0,0,0
LODI ,62134,33194,388,22613,248,4167,88,1342,0,94
MODESTO POLICE DEPT,277,218,4,44,0,2,0,0,9,0
MODESTO,201165,99347,7539,71381,1141,12899,1747,6731,0,380
OAKLAND POLICE DEPT,725,322,151,134,2,86,0,30,0,0
OAKLAND ,390724,101308,106637,99068,1214,65127,2081,14076,0,1213
PALO ALTO POLICE DEPT,87,61,6,7,0,9,0,4,0,0
PALO ALTO ,64403,39052,1131,3974,65,17404,135,2388,0,254
PETALUMA POLICE DEPT,74,67,1,5,0,1,0,0,0,0
PETALUMA ,57941,40226,719,12453,198,2550,119,1565,0,111
PLEASANTON POLICE DEPT,87,81,2,2,0,2,0,0,0,0
PLEASANTON ,70285,42738,1116,7264,143,16209,125,2537,0,153
REDWOOD CITY POLICE DEPT,91,70,2,13,0,2,3,1,0,0
REDWOOD CITY ,76815,33801,1655,29810,152,8063,732,2311,0,291
RICHMOND POLICE DEPT,161,75,45,24,1,11,2,0,3,0
RICHMOND ,103701,17769,26872,40921,250,13783,462,3059,0,585
SALINAS POLICE DEPT,169,112,3,39,0,12,0,3,0,0
SALINAS ,150441,23333,2343,112799,418,8677,383,2270,0,218
SAN FRANCISCO POLICE DEPT,2303,1240,218,355,8,375,102,0,5,0
SAN FRANCISCO ,805235,337451,46781,121774,1828,265700,3128,26079,0,2494
SAN JOSE POLICE DEPT,1386,801,68,345,6,120,0,0,46,0
SAN JOSE ,945942,271382,27508,313636,2255,300022,3492,25827,0,1820
SAN RAFAEL POLICE DEPT,73,62,1,6,0,4,0,0,0,0
SAN RAFAEL ,57713,34031,1024,17302,107,3463,93,1500,0,193
SANTA CLARA POLICE DEPT,137,96,5,26,0,10,0,0,0,0
SANTA CLARA ,116468,42026,2929,22589,240,43531,604,4228,0,321
SANTA ROSA POLICE DEPT,175,149,3,16,2,5,0,0,0,0
SANTA ROSA,167815,100126,3660,47970,1511,8521,750,4921,0,356
STOCKTON POLICE DEPT,407,280,17,71,5,23,6,5,0,0
STOCKTON ,291707,66836,33507,117590,1237,60323,1622,10122,0,470
SUNNYVALE DEPT OF PUBLIC,207,145,5,26,1,16,10,4,0,0
SUNNYVALE ,140081,48323,2533,26517,292,57012,594,4429,0,381
VACAVILLE POLICE DEPT,108,73,6,21,2,6,0,0,0,0
VACAVILLE ,92428,50811,9187,21121,510,5378,436,4220,0,765
VALLEJO POLICE DEPT,146,105,11,9,0,6,0,8,7,0
VALLEJO,115942,28946,24876,26165,453,28386,1159,5653,0,304
WALNUT CREEK POLICE DEPT,68,61,0,4,0,3,0,0,0,0
WALNUT CREEK ,64173,47170,996,5540,99,7954,114,2152,0,148
WATSONVILLE POLICE DEPT,60,37,0,20,0,3,0,0,0,0
WATSONVILLE ,51199,7038,200,41656,139,1549,22,499,0,96